no,userstory
۱۲۳,به عنوان یک نویسنده محتوا من می‌خواهم بتوانم به سرعت پیش‌نویس‌های ذخیره‌شده خود را بازیابی و ویرایش کنم تا بتوانم به سرعت به نوشتن ادامه دهم و زمان خود را برای نوشتن بیشتر صرف کنم. 
۱۲۴,"به عنوان یک مشتری آنلاین من می‌خواهم با وارد کردن اطلاعات کارت اعتباری خود، پرداخت‌ها را در سریع‌ترین زمان ممکن انجام دهم تا بتوانم بدون معطلی خریدهای خود را تکمیل کنم. "
۱۲۵," به عنوان یک مدیر سیستم من می‌خواهم وقتی که یک کاربر به سیستم وارد می‌شود، اطلاعات کاربری او به طور خودکار در داشبورد نمایش داده شود تا بتوانم سریع‌تر به اطلاعات مورد نیاز دسترسی پیدا کرده و اقدامات مدیریتی را انجام دهم. "
۱۲۶,به عنوان یک مدیر پروژه من می‌خواهم بتوانم پیام‌های گروهی را به تیم‌های مختلف ارسال کنم تا بتوانم به سرعت اطلاعات مهم را با اعضای تیم به اشتراک بگذارم و از اتلاف وقت جلوگیری کنم. 
۱۲۷,"به عنوان یک کاربر من می‌خواهم امکان ثبت درخواست پشتیبانی با استفاده از فرم‌های خودکار و انتخابی را داشته باشم تا بتوانم بدون نیاز به تایپ زیاد و با سرعت بالا، مشکل خود را ثبت کنم. "
۱۲۸,به عنوان یک مسئول انبار من می‌خواهم بتوانم موجودی کالاها را به صورت لحظه‌ای و بدون تأخیر در سیستم به‌روزرسانی کنم تا بتوانم اطلاعات دقیق و به‌روز در اختیار تیم فروش قرار دهم. 
۱۲۹,به عنوان یک حسابدار من می‌خواهم بتوانم گزارش‌های مالی را با پارامترهای مختلف به سرعت تنظیم و استخراج کنم تا بتوانم از اطلاعات مالی دقیق و به‌روز برای تصمیم‌گیری‌های سریع استفاده کنم. 
۱۳۰,به عنوان یک مدیر سیستم من می‌خواهم بتوانم به سرعت وضعیت عملکرد سیستم‌ها و سرورها را بررسی کنم تا بتوانم مشکلات احتمالی را پیش از بروز بحران شناسایی و رفع کنم. 
۱۳۱,به عنوان یک کارشناس خرید من می‌خواهم درخواست‌های خرید را به صورت گروهی و با فیلترهای مختلف مشاهده و مدیریت کنم تا بتوانم به راحتی تمام درخواست‌ها را پیگیری و ترتیب انجام آن‌ها را مشخص کنم. 
۱۳۲,به عنوان یک مسئول پشتیبانی من می‌خواهم اعلان‌های فوری به کاربرانی که به پشتیبانی نیاز دارند ارسال کنم تا بتوانم به سرعت مشکل کاربران را شناسایی و به آن‌ها رسیدگی کنم. 
۱۳۳,به عنوان یک تحلیلگر داده من می‌خواهم داده‌های بزرگ را به سرعت جستجو و فیلتر کنم تا بتوانم نتایج دقیق و مرتبط را در کمترین زمان ممکن پیدا کنم. 
۱۳۴,به عنوان یک نماینده خدمات مشتری من می‌خواهم ایمیل‌های مشتریان را با استفاده از پاسخ‌های آماده سریعاً پاسخ دهم تا بتوانم به سرعت به نیازهای مشتریان پاسخ دهم و زمان پاسخ‌دهی را کاهش دهم. 
۱۳۵,به عنوان یک مشتری من می‌خواهم فرآیند پرداخت را با استفاده از گزینه‌های سریع و ذخیره‌سازی اطلاعات کارت اعتباری انجام دهم تا بتوانم خریدهای خود را در کمترین زمان ممکن و بدون تأخیر انجام دهم. 
۱۳۶,"به عنوان یک رهبر تیم من می‌خواهم بتوانم وظایف مختلف تیم را سریعاً اضافه، ویرایش یا حذف کنم تا بتوانم بدون تأخیر و با کارایی بالا، پروژه‌ها را به موقع مدیریت کنم. "
۱۳۷,به عنوان یک کاربر حرفه‌ای من می‌خواهم بتوانم به راحتی بین صفحات مختلف سیستم جابجا شوم تا بتوانم از پیمایش طولانی جلوگیری کنم و سریع‌تر به اطلاعات مورد نیاز خود دسترسی پیدا کنم. 
۱۳۸,به عنوان یک مشتری آنلاین من می‌خواهم بتوانم نتایج جستجوی محصولات را با استفاده از فیلترهای متنوع به سرعت محدود کنم تا بتوانم سریع‌تر محصول دلخواهم را پیدا کنم و از اتلاف وقت جلوگیری کنم. 
۱۳۹,به عنوان یک خریدار آنلاین من می‌خواهم به سرعت بتوانم محصولات را به سبد خرید خود اضافه کنم تا بتوانم خرید خود را به‌طور کارآمدتر و بدون توقف انجام دهم. 
۱۴۰,به عنوان یک کاربر نرم‌افزار طراحی من می‌خواهم بتوانم پیش‌نمایش فایل‌ها و طرح‌ها را سریعاً مشاهده کنم تا بتوانم تصمیم‌گیری سریع‌تری برای اصلاحات و تغییرات انجام دهم. 
۱۴۱,"به عنوان یک مدیر پروژه من می‌خواهم بتوانم وضعیت پروژه‌ها و وظایف تیم را به‌صورت خلاصه و فوری مشاهده کنم تا بتوانم بدون بررسی جزئیات زیاد، تصمیمات سریع و مؤثر بگیرم. "
۱۴۲,به عنوان یک تحلیلگر داده من می‌خواهم بتوانم گزارش‌های آماری و تحلیلی را با استفاده از داشبوردهای پیشرفته سریعاً مشاهده کنم تا بتوانم تجزیه و تحلیل‌های دقیق‌تری انجام دهم و گزارش‌ها را سریعاً آماده کنم. 
۱۴۳,به عنوان یک همکار در تیم فروش من می‌خواهم بتوانم اطلاعات مربوط به مشتریان را سریعاً با همکاران خود به اشتراک بگذارم تا بتوانم همکاری تیمی را سریع‌تر انجام دهم و تصمیمات به موقع بگیرم. 
۱۴۴,به عنوان یک اپراتور صندوق من می‌خواهم بتوانم تراکنش‌های خرید و فروش را به سرعت و با دقت پردازش کنم تا بتوانم صف‌های طولانی را کاهش دهم و سرعت خدمات‌دهی را افزایش دهم. 
۱۴۵,"به عنوان یک حسابدار من می‌خواهم بتوانم تاریخچه تراکنش‌های مالی را به سرعت مرور کنم تا بتوانم بدون نیاز به جستجوی طولانی، سریعاً اطلاعات مالی را پیدا کنم. "
۱۴۶,به عنوان یک مشتری من می‌خواهم بتوانم چند محصول را همزمان مقایسه کنم تا بتوانم سریع‌تر تصمیم بگیرم و وقت خود را برای مقایسه‌های دستی هدر ندهم. 
۱۴۷,به عنوان یک حسابدار من می‌خواهم بتوانم تاریخچه تراکنش‌ها را با استفاده از فیلترهای مختلف پیدا کنم تا بتوانم اطلاعات مورد نیاز را سریع‌تر بیابم و گزارش‌های دقیق‌تری تهیه کنم. 
۱۴۸,"به عنوان یک طراح گرافیک من می‌خواهم به راحتی به ابزارها و ویژگی‌های پیشرفته نرم‌افزار دسترسی داشته باشم تا بتوانم بدون نیاز به جستجو و زمان‌بر بودن، از تمام قابلیت‌های نرم‌افزار به‌طور مؤثر استفاده کنم. "
۱۴۹,به عنوان یک مدیر مالی من می‌خواهم گزار‌شات مالی را به صورت خودکار و در قالب‌های مختلف مشاهده کنم تا بتوانم زمان کمتری را برای بررسی دستی گزارشات صرف کنم و تصمیمات سریع‌تری بگیرم. 
۱۵۰,"به عنوان یک کاربر مبتدی من می‌خواهم از الگوهای از پیش طراحی شده برای ساخت گزارش یا اسلاید استفاده کنم تا بتوانم سریع‌تر و بدون نیاز به طراحی از ابتدا، کارم را پیش ببرم. "
۱۵۱,"به عنوان یک مدیر محتوا من می‌خواهم بتوانم تصاویر را به سرعت در سیستم آپلود کنم تا بتوانم بدون تأخیر زیاد در سیستم، محتوای بصری را برای صفحات وب آماده کنم. "
۱۵۲,"به عنوان یک تحلیلگر داده من می‌خواهم داده‌ها را به راحتی از نرم‌افزار دیگر به سیستم فعلی منتقل کنم تا بتوانم بدون نیاز به وارد کردن دستی داده‌ها، کارایی خود را افزایش دهم. "
۱۵۳,به عنوان یک پژوهشگر من می‌خواهم از فیلترهای پیچیده برای جستجوی مقالات استفاده کنم تا بتوانم به سرعت نتایج دقیق و مرتبط را پیدا کنم و از وقت خود بهینه استفاده کنم. 
۱۵۴,به عنوان یک مسئول بازاریابی من می‌خواهم بتوانم ایمیل‌های تبلیغاتی را به صورت گروهی و با استفاده از لیست‌های از پیش ساخته شده ارسال کنم تا بتوانم زمان کمتری را صرف ارسال ایمیل‌ها کنم و فرایند را سریع‌تر انجام دهم. 
۱۵۵,به عنوان یک مدیر پروژه من می‌خواهم بتوانم وضعیت تمامی پروژه‌ها را در یک نمای کلی مشاهده کنم تا بتوانم سریعاً اولویت‌ها را تعیین کرده و زمان خود را بهتر مدیریت کنم. 
۱۵۶,به عنوان یک مشتری من می‌خواهم بتوانم آیتم‌های مورد نظر خود را سریعاً به سبد خرید اضافه کنم تا بتوانم فرآیند خرید را سریع‌تر و با کارایی بیشتر انجام دهم. 
۱۵۷,به عنوان یک مسئول پشتیبانی مشتری من می‌خواهم بتوانم به راحتی و سریع ایمیل‌های استاندارد پاسخ‌دهی را ارسال کنم تا بتوانم پاسخ‌دهی سریع‌تری به درخواست‌های مشتریان داشته باشم. 
۱۵۸,به عنوان یک کاربر من می‌خواهم بتوانم به سرعت به تنظیمات پروفایل خود دسترسی پیدا کنم تا بتوانم تغییرات لازم را به‌سرعت انجام دهم. 
۱۵۹,به عنوان یک کاربر من می‌خواهم بتوانم داده‌ها را در فرم‌ها به سرعت وارد کنم تا بتوانم از پر کردن فرم‌ها بدون تأخیر و اتلاف وقت لذت ببرم. 
۱۶۰,به عنوان یک مدیر فروش من می‌خواهم بتوانم گزارش‌های روزانه فروش را به سرعت مشاهده کنم تا بتوانم تصمیمات بهتری برای تیم فروش خود بگیرم. 
۱۶۱,به عنوان یک مدیر انبار من می‌خواهم موجودی انبار را به سرعت و بدون تأخیر مشاهده کنم تا بتوانم به سرعت تصمیم بگیرم که چه محصولاتی نیاز به بازاریابی یا سفارش مجدد دارند. 
۱۶۲,به عنوان یک پژوهشگر من می‌خواهم بتوانم در پایگاه داده سریعاً اطلاعات مورد نظر خود را جستجو کنم تا بتوانم زمان خود را صرف مرور نتایج مرتبط کنم. 
۱۶۳,به عنوان یک کارمند من می‌خواهم بتوانم رویدادها و جلسات را سریعاً در تقویم ثبت کنم تا بتوانم برنامه‌ریزی خود را به راحتی مدیریت کنم. 
۱۶۴,به عنوان یک طراح گرافیک من می‌خواهم بتوانم سریعاً به آخرین پروژه‌های کاری خود دسترسی پیدا کنم تا بتوانم روی پروژه‌های فعلی تمرکز کنم و زمان را هدر ندهم. 
۱۶۵,به عنوان یک مشتری آنلاین من می‌خواهم بتوانم چندین محصول را همزمان به سبد خرید خود اضافه کنم تا بتوانم خرید خود را سریع‌تر و کارآمدتر انجام دهم. 
۱۶۶,به عنوان یک کاربر باتجربه من می‌خواهم نرم‌افزار ویژگی‌هایی مانند تاریخچه فعالیت‌ها و یادآوری‌های مفید داشته باشد تا بتوانم اطلاعات و کارهایی که در گذشته انجام داده‌ام را به راحتی بازیابی کنم و به خاطر سپردن نحوه استفاده از ابزارها و ویژگی‌های نرم‌افزار نیاز به یادآوری‌های اضافی نداشته باشم. 
۱۶۷,"به عنوان یک دانش‌آموز من می‌خواهم پیشرفت من در دوره‌های آنلاین ذخیره شود تا بتوانم هر زمان که به دوره برگردم، از جایی که قبلاً ترک کرده‌ام ادامه دهم. "
۱۶۸,"به عنوان یک کاربر نرم‌افزار من می‌خواهم تنظیمات شخصی‌ام برای نرم‌افزار ذخیره شوند تا بتوانم هر بار که وارد شوم، تنظیمات قبلی‌ام را حفظ کنم و نیازی به تنظیم دوباره نداشته باشم. "
۱۶۹,به عنوان یک کاربر جدید من می‌خواهم نرم‌افزار به من یادآوری کند که چگونه از ابزارها استفاده کنم تا بتوانم سریع‌تر مهارت‌های خود را یاد بگیرم و از فراموشی جلوگیری کنم. 
۱۷۰,"به عنوان یک کاربر من می‌خواهم نرم‌افزار به طور خودکار پیشنهادات مرتبط با عملکرد من را نمایش دهد تا بتوانم در طول استفاده از سیستم، مهارت‌ها و ویژگی‌های جدید را یاد بگیرم. "
۱۷۱,"به عنوان یک کاربر مبتدی من می‌خواهم یک راهنمای گام به گام داشته باشم که در هر مرحله استفاده از نرم‌افزار من را راهنمایی کند تا بتوانم با سرعت بیشتر و بدون احساس سردرگمی، یاد بگیرم که چگونه از آن استفاده کنم. "
۱۷۲,به عنوان یک کاربر باتجربه من می‌خواهم ویژگی‌های مهم نرم‌افزار به صورت دوره‌ای به من یادآوری شوند تا بتوانم از تمام قابلیت‌های نرم‌افزار بهره‌برداری کنم و آن‌ها را فراموش نکنم. 
۱۷۳,به عنوان یک مدیر پروژه من می‌خواهم بتوانم پیشرفت تیم در استفاده از ابزارها و فرآیندها را مشاهده کنم تا بتوانم مطمئن شوم که اعضای تیم تمام اطلاعات را به‌خوبی یاد گرفته‌اند و هیچ جزئیاتی از دست نرفته است. 
۱۷۴,به عنوان یک کاربر نرم‌افزار آموزشی من می‌خواهم سیستم به طور خودکار محتوای آموزشی را متناسب با سطح من به‌روزرسانی کند تا بتوانم تجربه یادگیری خود را با توجه به پیشرفت‌هایم بهبود دهم و چالش‌های جدیدی ایجاد کنم. 
۱۷۵,به عنوان یک کاربر حرفه‌ای من می‌خواهم از میانبرهای کیبورد برای انجام سریع‌تر وظایف استفاده کنم تا بتوانم زمان یادگیری و انجام کارها را کاهش دهم و کارایی خود را افزایش دهم. 
۱۷۶,"به عنوان یک دانش‌آموز من می‌خواهم جلسات آموزش آنلاین ذخیره شوند تا بتوانم هر زمان که لازم باشد، دوباره به جلسات گذشته مراجعه کرده و اطلاعات را مرور کنم. "
۱۷۷,به عنوان یک کاربر جدید من می‌خواهم سیستم مراحل تکمیل فرم را به صورت خودکار یادآوری کند تا بتوانم مراحل را به راحتی یاد بگیرم و در صورت لزوم بدون سردرگمی از ابتدا شروع کنم. 
۱۷۸,به عنوان یک کاربر من می‌خواهم جستجوهای قبلی من ذخیره شوند تا بتوانم به راحتی به اطلاعاتی که قبلاً جستجو کرده‌ام دسترسی داشته باشم و نیازی به یادآوری دقیق آن‌ها نداشته باشم. 
۱۷۹,"به عنوان یک کاربر من می‌خواهم امکان دسترسی به راهنمای نرم‌افزار در هر زمان فراهم باشد تا بتوانم هر زمانی که فراموش کردم نحوه استفاده از یک ویژگی را، آن را دوباره یاد بگیرم. "
۱۸۰,به عنوان یک مشتری من می‌خواهم سیستم بر اساس تاریخچه خرید من پیشنهاداتی ارائه دهد تا بتوانم سریعاً نیازهای من را شناسایی کرده و تجربه خرید خود را بهبود دهم. 
۱۸۱,"به عنوان یک کاربر حرفه‌ای من می‌خواهم تنظیمات نرم‌افزارم ذخیره و با هر بار ورود به سیستم بارگذاری شود تا بتوانم بدون نیاز به تنظیم دوباره، به راحتی از نرم‌افزار استفاده کنم. "
۱۸۲,به عنوان یک مدیر سیستم من می‌خواهم سیستم تاریخچه تمام فعالیت‌های انجام شده توسط کاربران را ذخیره کند تا بتوانم در صورت نیاز به راحتی به آن‌ها مراجعه کنم و مشکلات را سریعاً حل کنم. 
۱۸۳,به عنوان یک کاربر مبتدی من می‌خواهم راهنمای تعاملی و گام به گام در نرم‌افزار موجود باشد تا بتوانم به راحتی یاد بگیرم که چگونه از تمام ویژگی‌ها استفاده کنم بدون اینکه فراموش کنم. 
۱۸۴,"به عنوان یک دانشجو من می‌خواهم پیشرفت خود در هر دوره آموزشی را مشاهده کنم تا بتوانم بدون گم کردن مسیر، در هر زمان از دوره به راحتی ادامه دهم. "
۱۸۵,به عنوان یک کاربر من می‌خواهم خلاصه‌ای از فعالیت‌های قبلی‌ام در نرم‌افزار نمایش داده شود تا بتوانم به سرعت به جایی که آخرین بار متوقف شده بودم بازگردم و از ادامه کار مطمئن شوم. 
۱۸۶,"به عنوان یک کاربر من می‌خواهم ترجیحات شخصی من در نرم‌افزار ذخیره شوند تا بتوانم در هر زمان که وارد سیستم شوم، با همان تنظیمات بهینه‌شده شروع کنم و نیاز به یادآوری نداشته باشم. "
۱۸۷,"به عنوان یک کاربر جدید من می‌خواهم دستورالعمل‌های استفاده از ابزار در نرم‌افزار به صورت خودکار برای من نمایش داده شود تا بتوانم در صورت فراموشی نحوه استفاده، سریعاً یاد بگیرم و از ابزار به درستی استفاده کنم. "
۱۸۸,"به عنوان یک کاربر من می‌خواهم زمانی که اشتباهی انجام می‌دهم، به راحتی بتوانم به آخرین وضعیت صحیح بازگردم تا بتوانم بدون نیاز به یادآوری دقیق مراحل، سریعاً اشتباهاتم را اصلاح کنم. "
۱۸۹,به عنوان یک کاربر پیشرفته من می‌خواهم تاریخچه تغییرات در تنظیمات و داده‌هایم در دسترس باشد تا بتوانم به راحتی تغییرات قبلی را مرور کنم و در صورت نیاز به نسخه‌های قبلی بازگردم. 
۱۹۰,"به عنوان یک مدیر پروژه من می‌خواهم آخرین فعالیت‌های من در سیستم ذخیره و قابل بازیابی باشد تا بتوانم در صورت نیاز، به راحتی به کارهای گذشته دسترسی پیدا کنم و آن‌ها را تکمیل کنم. "
۱۹۱,به عنوان یک شرکت‌کننده در جلسه آنلاین من می‌خواهم نکات کلیدی و مهم از جلسات قبلی در یک بخش یادآوری شوند تا بتوانم اطلاعات مهم را به راحتی مرور کنم و فراموش نکرده باشم. 
۱۹۲,"به عنوان یک کاربر حرفه‌ای من می‌خواهم ویژگی‌های پیشرفته نرم‌افزار با راهنمایی‌های کوتاه و کاربردی در دسترس باشند تا بتوانم بدون نیاز به جستجوی طولانی، از ویژگی‌ها بهره‌برداری کنم. "
۱۹۳,به عنوان یک طراح گرافیک من می‌خواهم الگوهای طراحی و تنظیمات قبلی ذخیره شوند تا بتوانم در پروژه‌های جدید از آن‌ها استفاده کنم و زمان کمتری صرف تنظیمات کنم. 
۱۹۴,به عنوان یک کاربر سیستم مدیریت پروژه من می‌خواهم سیستم هشدارهایی برای یادآوری مراحل باقی‌مانده در پروژه ایجاد کند تا بتوانم در تمام مراحل پروژه به طور کامل آگاه باشم و هیچ مرحله‌ای را فراموش نکنم. 
۱۹۵,"به عنوان یک کاربر نرم‌افزار من می‌خواهم پس از به‌روزرسانی نرم‌افزار، ویژگی‌های جدید به همراه توضیحات و راهنما نمایش داده شوند تا بتوانم ویژگی‌های جدید را سریعاً یاد بگیرم و در کارم از آن‌ها استفاده کنم. "
۱۹۶,"به عنوان یک کاربر من می‌خواهم تنظیمات شخصی و سفارشی‌سازی‌های انجام شده در حساب کاربری من ذخیره شود تا بتوانم در هر زمان وارد شوم و با همان تنظیمات قبلی کار کنم، بدون نیاز به تنظیم مجدد. "
۱۹۷,"به عنوان یک کاربر من می‌خواهم سیستم آخرین فعالیت‌های من را ذخیره کرده و به من یادآوری کند تا بتوانم بدون از دست دادن اطلاعات، کارهایم را ادامه دهم. "
۱۹۸,"به عنوان یک کاربر من می‌خواهم امکان بازنشانی تنظیمات به حالت پیش‌فرض سیستم برای من فراهم باشد تا بتوانم در صورتی که نتواستم به خاطر بیاورم تنظیمات قبلی چگونه بودند، سریعاً به حالت اولیه بازگردم. "
۱۹۹,"به عنوان یک کاربر جدید من می‌خواهم در حین استفاده از نرم‌افزار نکات آموزشی کوچک به من نمایش داده شود تا بتوانم بدون نیاز به مطالعه منابع جداگانه، به‌طور خودکار یاد بگیرم. "
۲۰۰,"به عنوان یک کاربر آموزشی من می‌خواهم نرم‌افزار مسیر یادگیری من را ذخیره کند تا بتوانم هر زمان که نیاز بود، به سرعت از جایی که متوقف شده‌ام ادامه دهم. "
۲۰۱,به عنوان یک کاربر من می‌خواهم اطلاعاتی که در فرم‌ها وارد کرده‌ام بین جلسات ذخیره شوند تا بتوانم از وارد کردن مجدد اطلاعات جلوگیری کرده و سریع‌تر فرم‌ها را تکمیل کنم. 
۲۰۲,به عنوان یک دانش‌آموز من می‌خواهم پیشرفت خود را در هر دوره آموزشی به صورت گرافیکی ببینم تا بتوانم متوجه شوم که چقدر از دوره را یاد گرفته‌ام و کجا باید بیشتر تمرکز کنم. 
۲۰۳,"به عنوان یک کاربر من می‌خواهم تنظیمات شخصی‌ام مانند زبان، تم و اعلان‌ها به طور خودکار ذخیره شوند تا بتوانم هر بار که وارد سیستم می‌شوم، به راحتی تنظیمات خود را به دست آورم. "
۲۰۴,"به عنوان یک کاربر من می‌خواهم زمانی که مدت زیادی از ویژگی خاصی استفاده نکرده‌ام، سیستم به من یادآوری کند تا بتوانم دوباره به یاد آورم و از آن استفاده کنم. "
۲۰۵,"به عنوان یک کاربر من می‌خواهم به راحتی و سریعاً به منابع آموزشی درون نرم‌افزار دسترسی داشته باشم تا بتوانم هر زمان که به کمک نیاز دارم، فوراً راهنمایی‌هایی برای یادگیری بیشتر پیدا کنم. "
۲۰۶," به عنوان یک مدیر سیستم من می‌خواهم تغییرات ایجاد شده در سیستم‌های یادگیری را به راحتی دنبال کنم  تا بتوانم در صورت نیاز به بازگشت به نسخه قبلی، تغییرات را حفظ کنم. "
۲۰۷,"به عنوان یک کاربر که مدتی از سیستم استفاده نکرده است من می‌خواهم هنگام ورود مجدد به سیستم، نکات آموزشی یا راهنماها به من نمایش داده شود تا بتوانم سریعاً به یاد بیاورم چطور از ویژگی‌ها و امکانات سیستم استفاده کنم. "
۲۰۸,به عنوان یک کاربر من می‌خواهم تاریخچه فعالیت‌های قبلی‌ام ذخیره شود تا بتوانم به راحتی به اطلاعات قبلی دسترسی داشته باشم و نیاز به یادآوری نباشد. 
۲۰۹,"به عنوان یک کاربر من می‌خواهم تنظیمات شخصی‌ام (مانند تم رنگی و زبان) ذخیره شود تا بتوانم در هر بار ورود به سیستم، تنظیمات دلخواه خود را حفظ کنم و نیازی به تنظیم مجدد نداشته باشم. "
۲۱۰,"به عنوان یک کاربر من می‌خواهم پس از مدتی عدم استفاده، سیستم به من یادآوری کند که چگونه از ابزارهای خاص استفاده کنم تا بتوانم دوباره به سرعت به کارایی ابزارها مسلط شوم. "
۲۱۱,"به عنوان یک کاربر مبتدی من می‌خواهم سیستم مراحل پیچیده را برای من یادآوری کند و امکان بازگشت به مراحل قبلی را فراهم کند تا بتوانم بدون فراموشی، مراحل را به درستی طی کنم. "
۲۱۲,"به عنوان یک کاربر من می‌خواهم پس از مدت‌ها عدم استفاده از سیستم، خلاصه‌ای از عملکرد قبلی و ویژگی‌های جدید به من نشان داده شود تا بتوانم بدون سردرگمی از جدیدترین تغییرات و امکانات استفاده کنم. "
۲۱۳,"به عنوان یک کاربر با نیازهای مختلف من می‌خواهم سیستم از چندین الگوی کاری یا ترجیحات من پشتیبانی کند تا بتوانم بدون نیاز به تنظیم دوباره، بین محیط‌های مختلف کار کنم. "
۲۱۴,به عنوان یک کاربر من می‌خواهم سیستم به‌طور خودکار تجربیات قبلی من را بررسی کرده و آموزش‌های سفارشی برای من فراهم کند تا بتوانم سریع‌تر مهارت‌های جدید را یاد بگیرم. 
۲۱۵,"به عنوان یک مدیر پروژه من می‌خواهم تغییرات اخیر در پروژه‌ها به صورت خودکار ذخیره و یادآوری شود تا بتوانم به راحتی از جایی که پروژه را رها کرده‌ام، ادامه دهم. "
۲۱۶,"به عنوان یک کاربر پیشرفته من می‌خواهم سیستم تنظیمات و پارامترهای پیشرفته‌ای که قبلاً استفاده کرده‌ام را یادآوری کند تا بتوانم بدون نیاز به تنظیم مجدد، از آن‌ها استفاده کنم و در زمان صرفه‌جویی کنم. "
۲۱۷,"به عنوان یک کاربر من می‌خواهم زمانی که اطلاعات نادرستی وارد می‌کنم، پیام خطای واضح و مفهومی به من نمایش داده شود تا بتوانم اشتباه خود را شناسایی کنم و به راحتی آن را اصلاح کنم. "
۲۱۸,"به عنوان یک کاربر من می‌خواهم اگر داده‌هایی که وارد می‌کنم نادرست باشند، سیستم به من بگوید که مشکل کجاست و چگونه آن را اصلاح کنم تا بتوانم به سرعت مشکل را رفع کنم و اطلاعات درست وارد کنم. "
۲۱۹,"به عنوان یک کاربر من می‌خواهم وقتی فرم را با اطلاعات ناقص ارسال می‌کنم، سیستم به من اطلاع دهد که کدام قسمت‌ها باید تکمیل شوند تا بتوانم فرم را به طور کامل ارسال کنم و از بروز مشکلات جلوگیری کنم. "
۲۲۰,"به عنوان یک کاربر من می‌خواهم اگر رمز عبور را اشتباه وارد کردم، پیام خطا به من داده شود و سیستم تعداد دفعات اشتباه وارد کردن را محدود کند تا بتوانم از بروز مشکلات امنیتی جلوگیری کنم. "
۲۲۱,"به عنوان یک کاربر من می‌خواهم اگر ایمیل اشتباه وارد کنم، سیستم به من هشدار دهد و پیشنهاد اصلاحات را بدهد تا بتوانم آدرس ایمیل صحیح را وارد کنم و از بروز مشکلات جلوگیری کنم. "
۲۲۲,"به عنوان یک کاربر من می‌خواهم زمانی که فایل من بارگذاری نمی‌شود، سیستم جزئیات خطا (مثل فرمت فایل یا اندازه) را به من نمایش دهد تا بتوانم فوراً مشکل را تشخیص داده و فایل را به درستی آپلود کنم. "
۲۲۳,"به عنوان یک مشتری من می‌خواهم اگر سفارش من به دلیل مشکلی ثبت نمی‌شود، پیام خطا واضحی نمایش داده شود که علت آن را توضیح دهد تا بتوانم مشکل را شناسایی کرده و آن را برطرف کنم. "
۲۲۴,"به عنوان یک کاربر من می‌خواهم اگر کلمه‌ای را اشتباه بنویسم، سیستم به طور خودکار آن را شناسایی کرده و پیشنهاد اصلاحی ارائه دهد تا بتوانم از نوشتن اشتباهات املایی جلوگیری کنم و اطلاعات خود را صحیح وارد کنم. "
۲۲۵,"به عنوان یک کاربر من می‌خواهم زمانی که مقدار نادرستی (مثل عدد منفی برای سن) وارد می‌کنم، سیستم به من هشدار دهد تا بتوانم مقدار صحیح را وارد کنم و از بروز خطا جلوگیری کنم. "
۲۲۶,"به عنوان یک کاربر من می‌خواهم اگر گزینه‌ای را انتخاب کنم که غیرمجاز است (مثل تاریخ گذشته)، سیستم به من هشدار دهد و از ارسال فرم جلوگیری کند تا بتوانم از بروز خطا و اشتباهات جلوگیری کنم و انتخاب‌های صحیحی داشته باشم. "
۲۲۷,به عنوان یک کاربر من می‌خواهم سیستم قبل از انجام عملیات خطرناک (مثل حذف داده‌ها یا تغییرات بزرگ) از من درخواست تأیید کند تا بتوانم از اشتباهات احتمالی جلوگیری کنم و مطمئن شوم که اقدام به درستی انجام می‌شود. 
۲۲۸,"به عنوان یک کاربر من می‌خواهم زمانی که فیلدهای فرم را به اشتباه پر کنم، سیستم به من اعلام کند که کدام فیلد اشتباه است و راهنمایی برای اصلاح آن ارائه دهد تا بتوانم سریعاً خطا را شناسایی کرده و آن را اصلاح کنم. "
۲۲۹,"به عنوان یک کاربر من می‌خواهم زمانی که اطلاعات اشتباهی وارد می‌کنم (مثل رمز عبور اشتباه)، سیستم پیام خطا را با جزئیات مشخص کند تا بتوانم دقیقاً بدانم که مشکل از کجا ناشی شده و آن را اصلاح کنم. "
۲۳۰,"به عنوان یک کاربر من می‌خواهم سیستم قبل از ذخیره اطلاعات، آن‌ها را بررسی کرده و در صورت وجود هرگونه خطا یا نقص، من را آگاه کند تا بتوانم از ذخیره اطلاعات نادرست یا ناقص جلوگیری کنم. "
۲۳۱,"به عنوان یک کاربر من می‌خواهم زمانی که داده‌ای را خارج از محدوده مجاز وارد می‌کنم، سیستم بلافاصله به من هشدار دهد تا بتوانم خطای ورودی را اصلاح کرده و اطلاعات درست وارد کنم. "
۲۳۲,"به عنوان یک کاربر من می‌خواهم در صورت بروز خطا، بتوانم به راحتی به آخرین وضعیت صحیح برگردم  تا بتوانم از خطاهایی که باعث تغییرات غیرمنتظره در داده‌ها می‌شود جلوگیری کنم. "
۲۳۳,"به عنوان یک کاربر من می‌خواهم اگر پسورد را اشتباه وارد کنم، پیغام خطا به وضوح مشخص کند که پسورد با آنچه که وارد کرده‌ام مطابقت ندارد تا بتوانم سریعاً مشکل را شناسایی کرده و وارد کردن پسورد صحیح را انجام دهم. "
۲۳۴,"به عنوان یک کاربر من می‌خواهم در هنگام بروز خطاهای سیستمی، سیستم پیشنهاداتی برای رفع مشکل به من بدهد تا بتوانم خطا را سریع‌تر حل کرده و دوباره به روند کار بازگردم. "
